03-11-2023,"North India, Nepal",5.7ÿMw,VIII,153,375,"Buildings damaged, all casualties in Nepal",[2][3]
28-07-2022,"Baikunthpur,ÿChhattisgarh",4.6ÿMw,IV,,5,Minor,[4][5]
28-04-2021,Assam,6.0ÿMw,VII,2,12,Moderate damage,[6][7]
24-07-2019,Maharashtra,4.1ÿMw,IV,1,1,Minor,[8][9]
12-09-2018,Assam,5.3ÿMw,VI,1,25,,[10]
03-01-2017,"India, Bangladesh",5.7ÿMw,V,3,8,,
04-01-2016,"India, Myanmar, Bangladesh",6.7ÿMw,VII,11,200,,
26-10-2015,"Afghanistan,ÿIndia,ÿPakistan",7.7ÿMw,VII,399,"2,536",,
12-05-2015,"Nepal,ÿIndia",7.3ÿMw,VIII,218,"3,500+",,
25-04-2015,"Nepal,ÿIndia",7.8ÿMw,X,"8,964","21,952",$10 billion,
21-05-2014,offshoreÿOdisha,6.0ÿMw,IV,2,250,Buildings damaged / Power outages,[citation needed][11]
01-05-2013,Kashmir,5.7ÿMw,,3,90,$19.5 million,[12]
05-03-2012,Delhi,5.2ÿMw,V,,5,,[13]
29-10-2011,Sikkim,3.5ÿMw,III,2,,,[14]
18-09-2011,"Gangtok,ÿSikkim",6.9ÿMw,VII,>111,,,
07-09-2011,Delhi,4.3ÿMw,V,,1,Minor damage,[15]
30-03-2010,"Diglipur,ÿAndaman andÿNicobarÿIslands",6.6ÿMw,VI,,10,Buildings damaged,[16][17]
10-08-2009,Andaman Islands,7.5ÿMw,VIII,,,Tsunami warning issued,
26-03-2009,Jharkhand,4.1ÿMw,V,,5,Buildings damaged,[18]
16-09-2008,"Satara district,ÿMaharashtra",5.0ÿMw,VI,1,20,"1,500 buildings damaged.",[19]
06-02-2008,West Bengal,4.3ÿMb,,1,50,Buildings damaged,[20]
06-11-2007,Gujarat,5.1ÿMw,V,1,5,Buildings damaged,[21]
29-11-2006,"Alwar district,ÿRajasthan",4.0ÿMw,,1,2,Minor damage to property,[22]
07-03-2006,Gujarat,5.5ÿMw,VI,,7,Buildings damaged,[23]
14-02-2006,Sikkim,5.3ÿMw,V,2,2,Landslide,[24]
14-12-2005,Uttarakhand,5.1ÿMw,VI,1,3,Building destroyed,[25]
08-10-2005,Kashmir,7.6ÿMw,VIII,"86,000?87,351","69,000?75,266",2.8 million displaced,
13-09-2002,Andaman Islands,6.5ÿMw,,2,,Destructive tsunami,[26]
25-09-2001,offshoreÿTamil Nadu,5.2ÿMw,V,3,,Minor damage,[27][28]
26-01-2001,Gujarat,7.7ÿMw,X,"13,805?20,023","~166,800",$10 billion,
29-03-1999,Chamoli district-Uttarakhand,6.8ÿMw,VIII,~103,,,
21-11-1997,"Bangladesh, India",6.1ÿMw,,23,200,,
22-05-1997,"Jabalpur, MadhyaÿPradesh",5.8ÿMw,VIII,38?56,"1,000?1,500",$37?143 million,
30-09-1993,"Latur,ÿMaharashtra",6.2ÿMw,VIII,"9,748","30,000",,
20-10-1991,"Uttarkashi,ÿUttarakhand",6.8ÿMw,IX,"768?2,000","1,383?1,800",,
21-08-1988,"Udayapur, Nepal",6.9ÿMw,VIII,"709?1,450",,,
06-08-1988,"Myanmar, India",7.3ÿMw,VII,3,12,,[29]
06-02-1988,"Bangladesh, India",5.9ÿMw,,2,100,,[30]
26-04-1986,"India, Pakistan",5.3ÿMs,,6,30,Severe damage,[31]
30-12-1984,Cachar district,5.6ÿMb,,20,100,Severe damage,[32]
20-01-1982,Little Nicobar,6.3ÿMs,,,Some,Moderate damage,[33]
23-08-1980,Kashmir,4.8ÿMs,,Few,,Limited damage / doublet,[34]
23-08-1980,Kashmir,4.9ÿMs,,15,40,Moderate damage /ÿdoublet,[35]
29-07-1980,Pithoragarh districtÿ(Nepal),6.5ÿMs,,200,Many,$245 million,[36]
19-01-1975,HimachalÿPradesh,6.8ÿMs,IX,47,,,
23-03-1970,Bharuch district,5.4ÿMb,,26,200,Moderate damage,[37]
11-12-1967,Maharashtra,6.6ÿMw,VIII,177?180,"2,272","$400,000",
15-08-1966,North India,5.6,,15,,Limited damage,[38]
27-06-1966,"Nepal, India",5.3ÿMs,VIII,80,100,$1 million,[39]
02-09-1963,Kashmir,5.3,,80,,Moderate damage,[40]
27-08-1960,North India,,,,,Moderate damage,[41]
21-07-1956,Gujarat,6.1ÿMs,IX,115,254,,
21-03-1954,"India, Myanmar",7.4ÿMs,,,,Moderate damage,[42]
15-08-1950,"Assam,ÿTibet",8.6ÿMw,XI,"1,500?3,300",,,
29-07-1947,"India, China",7.3ÿMw,,,,,
26-06-1941,Andaman Islands,7.7?8.1ÿMw,,"8,000",,Destructive tsunami,
31-05-1935,"Quetta,ÿBaluchistan",7.7ÿMw,X,"30,000?60,000",,,
15-01-1934,Nepal,8.0ÿMw,XI,"6,000?10,700",,,
14-08-1932,"Assam, Myanmar",7.0ÿMs,,,,Moderate damage,[43]
02-07-1930,Assam,7.1ÿMw,IX,,,,
04-04-1905,Kangra,7.8ÿMs,IX,">20,000",,,
1897-06-12,"Shillong,ÿIndia",8.0ÿMw,X,"1,542",,,
1885-06-06,Kashmir,,,,,Severe damage,[44]
1885-05-30,Srinagar,,,"3,000",,Extreme damage,[45]
1881-12-31,Andaman Islands,7.9ÿMw,VII,,,Significant in seismology,
1869-01-10,"Assam,ÿCachar",7.4ÿMw,VII,2,,Severe damage,
1845-06-19,Rann of Kutch,6.3ÿMs,VIII,Few,,Limited damage / tsunami,[46]
1843-04-01,Deccan Plateau,,,,,Moderate damage,[47]
1833-08-26,"Bihar, Kathmandu",8.0ÿMs,,,,Severe damage,[48]
1828-06-06,Kashmir,,,"1,000",,Severe damage,[49]
1819-06-16,Gujarat,7.7?8.2ÿMw,XI,">1,543",,Formed the Allah Bund,
1803-09-01,Uttarakhand,7.8ÿMw,IX,300,,Severe damage,[50]
1618-05-26,Bombay,,IX,"2,000",,Severe damage,[51]
1555-09-??,"Kashmir Valley,ÿKashmir",7.6?8.0,,"600?60,000",,,
1505-06-06,"Saldang,ÿKarnaliÿzone",8.2?8.8,,"6,000",,,
